City_ID,latitud,longitude,temperature,humidity,cloudiness,wind_speed,country,description,city
308,-6.2167,155.6333,85.14,67,81,6.42,PG,light rain,Kieta
309,13.5928,-89.8275,78.22,81,57,3.83,SV,broken clouds,Acajutla
310,9.5167,-79.0333,80.35,83,100,7.02,PA,overcast clouds,Tubualá
311,-35.3378,143.5544,55.36,95,100,22.19,AU,moderate rain,Swan Hill
312,14.9215,-23.5087,75.74,88,20,4.61,CV,few clouds,Praia
313,38.4953,102.1739,49.6,54,100,4.36,CN,overcast clouds,Jinchang
314,52.6333,126.75,39.7,34,91,15.57,RU,overcast clouds,Sivaki
315,28.2211,61.2158,73.54,15,0,3.98,IR,clear sky,Khāsh
316,-11.0964,-77.6139,60.28,83,33,9.66,PE,scattered clouds,Hualmay
317,7.6947,126.5503,83.39,75,100,6.17,PH,overcast clouds,Kinablangan
318,-6.3264,108.32,85.15,62,97,3.56,ID,overcast clouds,Indramayu
319,-11.2061,13.8437,71.69,89,84,6.11,AO,broken clouds,Sumbe
320,28.6585,-17.9182,73.15,41,0,8.05,ES,clear sky,Los Llanos de Aridane
321,55.1001,-105.2842,53.85,58,20,10.36,CA,smoke,La Ronge
322,64.8989,45.7622,41.58,98,100,4.94,RU,overcast clouds,Leshukonskoye
323,-16.5,-68.15,37.38,60,20,0.0,BO,few clouds,La Paz
324,-45.4167,167.7167,34.81,81,76,11.34,NZ,light snow,Te Anau
325,6.3005,-10.7969,76.77,90,100,2.42,LR,moderate rain,Monrovia
326,50.6996,-127.4199,55.58,94,100,0.0,CA,overcast clouds,Port Hardy
327,61.3833,152.75,18.82,94,100,8.72,RU,snow,Talaya
328,19.35,-90.7167,76.23,76,67,8.21,MX,broken clouds,Champotón
329,63.1115,7.732,45.25,81,42,2.3,NO,scattered clouds,Kristiansund
330,37.4636,-122.4286,63.91,86,100,16.11,US,overcast clouds,Half Moon Bay
331,-31.95,141.4333,80.51,29,4,20.38,AU,clear sky,Broken Hill
332,-46.1333,167.6833,36.12,75,100,20.09,NZ,light rain,Tuatapere
333,52.7255,58.8937,40.42,47,99,6.53,RU,overcast clouds,Kizilskoye
334,4.8699,-2.2405,75.04,93,78,4.72,GH,broken clouds,Esim
335,-7.9386,110.2506,82.89,68,100,10.42,ID,overcast clouds,Srandakan
336,34.1167,133.65,70.56,87,100,10.56,JP,overcast clouds,Kan’onjichō
337,-25.2406,130.9889,81.79,24,0,8.93,AU,clear sky,Yulara
338,-15.6467,-56.1325,82.27,65,40,9.22,BR,scattered clouds,Várzea Grande
339,44.0241,12.5186,64.62,96,0,1.14,IT,clear sky,Provincia di Rimini
340,35.7454,-81.6848,53.67,72,0,1.99,US,clear sky,Morganton
341,59.9156,5.781,50.56,92,99,3.78,NO,light rain,Hellvik
342,67.8006,130.4114,21.04,72,96,1.83,RU,overcast clouds,Batagay-Alyta
343,58.5667,5.7,54.97,91,100,9.57,NO,light rain,Vigrestad
